species	gb	bold
Atheta puncticollis	0	0
Scaphisoma rubens	38	62
Gnypeta manitobae	0	0
Asemobius caelatus	0	0
Medon pugetensis	0	0
Atheta festinans	0	0
Gyrophaena insolens	2	7
Bledius rubiginosus	0	0
Philhygra larsoni	0	1
Atheta fungicola	0	7
Stenus similis	24	30
Atheta scotica	0	1
Bledius viriosus	0	0
Brundinia marina	0	2
Bisnius cephalotes	0	1
Phloeostiba plana	15	16
Conoplectus canaliculatus	0	1
Tachyusa smetanai	0	1
Leptusa cribratula	0	0
Atheta pseudoelongatula	0	0
Euplectus nanus	17	18
Heterothops fusculus	3	9
Ocalea vancouveri	1	1
Haida keeni	0	4
Gnypeta dentata	0	5
Heterothops marmotae	0	0
Liogluta pagana	0	0
Atheta xanthopus	0	0
Bisnius parcus	0	3
Tachyporus nitidulus	116	169
Zyras collaris	2	3
Oxypoda manitobae	0	0
Brachygluta abdominalis	0	0
Euaesthetus americanus	0	4
Stenus lagopodis	0	0
Bolitochara pulchra	9	9
Sepedophilus occultus	0	5
Deliphrosoma prolongatum	0	0
Hoplandria laevicollis	0	0
Megarthrus occidentalis	0	0
Acylophorus wagenschieberi	0	6
Philhygra stylifera	0	0
Siagonium punctatum	1	1
Euaesthetus albertae	0	2
Arpedium angulare	0	1
Phloeonomus punctipennis	27	28
Euconnus ater	0	0
Mycetoporus nigricollis	0	0
Sepedophilus testaceus	58	44
Tanyrhinus singularis	2	2
Gabrius nigritulus	6	7
Gabrius velox	0	0
Thamiaraea brittoni	2	4
Stenus jacuticus	0	0
Bledius tarandus	0	10
Gnypeta lohsei	0	1
Notothecta flavipes	6	6
Bledius dissimilis	4	5
Stenus scrupeus	0	0
Hesperolinus parcus	0	0
Gabrius seattlensis	0	0
Strophogastra penicillata	0	0
Ocalea badia	8	8
Stenus arculus	0	0
Euaesthetus pacificus	0	0
Quedius cruentus	40	56
Astenus binotatus	0	0
Gyrophaena wisconsinica	0	0
Stenus planatus	0	0
Tachyusida gracilis	0	0
Hapalaraea megarthroides	41	43
Stenus brivioi	0	1
Eutheia scitula	0	0
Tachinus discoideus	0	0
Euaesthetus similis	0	0
Atheta formalis	0	0
Microedus fenderi	1	1
Philonthus concinnus	68	78
Coryphium brunneum	0	0
Oxyporus rufipennis	0	7
Philonthus ventralis	0	6
Rugilus ceylanensis	0	0
Ischnoglossa obscura	3	3
Actium abitibiense	0	0
Gyrophaena caseyi	0	0
Mannerheimia arctica	3	3
Tachyporus stacesmithi	0	0
Arpedium brunnescens	0	0
Tachyporus flavipennis	0	1
Philonthus quadricollis	1	5
Gyrophaena pseudonana	0	0
Platydracus fulvipes	8	10
Atheta wireni	0	0
Oxypoda spectabilis	1	3
Phloeonomus flavipennis	0	0
Baeocera apicalis	0	0
Philonthus neonatus	1	3
Atheta platonoffi	4	11
Philhygra proterminalis	1	3
Oxypoda amica	25	32
Oxypoda funebris	5	8
Stenus gratriosus	0	0
Acrotona muscorum	0	4
Phyllodrepa rufipennis	0	0
Habrocerus capillaricornis	39	44
Ocypus brunnipes	14	16
Pyroglossa canaliculata	0	0
Paramblopusa borealis	0	1
Atheta campbelliana	0	0
Olophrum leechi	0	0
Bledius diota	3	6
Acrolocha sulcula	0	3
Megalinus glabratus	3	2
Mycetoporus inaris	0	0
Palaeoleptochromus schaufussi	0	0
Proteinus laevigatus	11	11
Atheta longicornis	13	15
Dinothenarus capitatus	1	7
Boreocypha websteri	1	4
Aleochara cuniculorum	0	5
Micropeplus cribratus	0	0
Coprophilus castoris	0	0
Gnypeta atrolucens	0	1
Thinopinus pictus	5	31
Creophilus maxillosus	23	36
Carpelimus manchuricus subtilicornis	0	0
Heterothops fumigatus	0	2
Atheta pseudomodesta	0	24
Vicelva vandykei	0	0
Thinobius angusticeps	0	0
Gabrius oceanus	0	0
Gyrophaena illiana	0	5
Placusa petulans	0	0
Stenus venustus	0	1
Lordithon conabilis	2	2
Bibloplectus spinosus	0	0
Atrecus quadripennis	2	4
Philhygra satanas	0	0
Carpelimus foveolatus	4	7
Carpelimus exiguus	14	14
Brachyusa helenae	1	5
Oxypoda operta	0	0
Pelecomalium laevicolle	0	3
Quedius rainieri	0	0
Zyras obliquus	2	2
Aleochara daviesi	0	0
Halobrecta algae	0	0
Stenus ater	3	3
Achenium humile	0	0
Deinopsis rhadina	0	1
Bledius bellicus	0	0
Bryophacis arcticus	0	3
Euconnus debilis	0	0
Microscydmus misellus	0	0
Neocalodera arcuata	0	0
Lordithon cascadensis	0	1
Atheta picipes	0	16
Myllaena brevicornis	9	10
Bythinus burrellii	1	2
Neuraphes rubicundus	0	0
Mycetoporus bimaculatus	0	0
Lathrobium divisum	0	0
Micropeplus sculptus	0	0
Platystethus arenarius	10	11
Bellatheta microptera	0	3
